Time	Agent	D1	SSCMax_D1	D2	SSCMax_D2	D3	SSCMax_D3	D4	SSCMax_D4
99.785000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.790000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.795000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.800000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.805000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.810000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.815000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.820000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.825000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.830000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.835000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.840000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.845000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.850000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.855000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.860000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.865000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.870000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.875000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.880000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.885000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.890000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.895000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.900000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.905000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.910000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.915000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.920000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.925000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.930000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.935000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.940000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.945000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.950000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.955000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.960000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.965000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.970000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.975000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.980000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.985000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.990000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
99.995000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.000000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.005000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.005000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.010000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.015000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.020000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.025000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.030000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.035000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.040000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.045000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.050000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
100.055000	1	0.000000	525	0.000000	525	0.000000	525	0.000000	-2147483648
